"0,00","0,00","0,00"
"0,03","0,10","0,05"
"0,07","0,20","0,12"
"0,10","0,31","0,23"
"0,13","0,44","0,35"
"0,17","0,56","0,44"
"0,20","0,67","0,53"
"0,23","0,82","0,62"
"0,27","0,92","0,69"
"0,30","1,05","0,74"
"0,33","1,19","0,79"
"0,37","1,30","0,83"
"0,40","1,42","0,86"
"0,43","1,54","0,86"
"0,47","1,68","0,85"
"0,50","1,79","0,85"
"0,53","1,92","0,81"
"0,57","2,03","0,78"
"0,60","2,14","0,74"
"0,63","2,26","0,70"
"0,67","2,38","0,62"
"0,70","2,50","0,56"
"0,73","2,64","0,47"
"0,77","2,74","0,37"
"0,80","2,88","0,26"
"0,83","2,98","0,15"
"0,87","3,09","0,02"